GO.ID,Term,Annotated,Significant,Expected,Classic,p.adj
GO:0007167,enzyme-linked receptor protein signaling...,5,4,0.51,5e-04,0.02006
GO:0007169,transmembrane receptor protein tyrosine ...,5,4,0.51,5e-04,0.02006
GO:0034605,cellular response to heat,47,13,4.81,6e-04,0.02006
GO:0023052,signaling,420,63,42.95,0.00072,0.02006
GO:0007154,cell communication,516,74,52.77,0.00093,0.02006
GO:0042026,protein refolding,13,6,1.33,0.00101,0.02006
GO:0002237,response to molecule of bacterial origin,3,3,0.31,0.00106,0.02006
GO:0006799,polyphosphate biosynthetic process,3,3,0.31,0.00106,0.02006
GO:0070935,3'-UTR-mediated mRNA stabilization,3,3,0.31,0.00106,0.02006
GO:0009266,response to temperature stimulus,63,15,6.44,0.0013,0.02006
GO:0032974,amino acid transmembrane export from vac...,6,4,0.61,0.00137,0.02006
GO:0043489,RNA stabilization,6,4,0.61,0.00137,0.02006
GO:0048255,mRNA stabilization,6,4,0.61,0.00137,0.02006
GO:0071964,establishment of cell polarity regulatin...,6,4,0.61,0.00137,0.02006
GO:0010557,positive regulation of macromolecule bio...,302,47,30.88,0.00167,0.02282
GO:0009408,response to heat,59,14,6.03,0.00194,0.02486
GO:0030010,establishment of cell polarity,67,15,6.85,0.00251,0.02599
GO:0010923,negative regulation of phosphatase activ...,7,4,0.72,0.00293,0.02599
GO:0032515,negative regulation of phosphoprotein ph...,7,4,0.72,0.00293,0.02599
GO:1902369,negative regulation of RNA catabolic pro...,7,4,0.72,0.00293,0.02599
GO:1902373,negative regulation of mRNA catabolic pr...,7,4,0.72,0.00293,0.02599
GO:0010628,positive regulation of gene expression,278,43,28.43,0.00298,0.02599
GO:0000103,sulfate assimilation,11,5,1.12,0.00299,0.02599
GO:0035556,intracellular signal transduction,295,45,30.17,0.00315,0.02599
GO:0010564,regulation of cell cycle process,279,43,28.53,0.00319,0.02599
GO:0051641,cellular localization,924,117,94.49,0.0036,0.02599
GO:0050789,regulation of biological process,1342,162,137.24,0.00372,0.02599
GO:0007165,signal transduction,381,55,38.96,0.00391,0.02599
GO:0009617,response to bacterium,4,3,0.41,0.00393,0.02599
GO:0070848,response to growth factor,4,3,0.41,0.00393,0.02599
GO:0071363,cellular response to growth factor stimu...,4,3,0.41,0.00393,0.02599
GO:0050794,regulation of cellular process,1304,157,133.36,0.00507,0.03054
GO:0010720,positive regulation of cell development,17,6,1.74,0.00511,0.03054
GO:0006797,polyphosphate metabolic process,8,4,0.82,0.0054,0.03054
GO:0035305,negative regulation of dephosphorylation,8,4,0.82,0.0054,0.03054
GO:0035308,negative regulation of protein dephospho...,8,4,0.82,0.0054,0.03054
GO:0006476,protein deacetylation,23,7,2.35,0.00636,0.03054
GO:0016575,histone deacetylation,23,7,2.35,0.00636,0.03054
GO:0031400,negative regulation of protein modificat...,47,11,4.81,0.00648,0.03054
GO:0051179,localization,1227,148,125.48,0.00652,0.03054
GO:0010563,negative regulation of phosphorus metabo...,48,11,4.91,0.00765,0.03054
GO:0045936,negative regulation of phosphate metabol...,48,11,4.91,0.00765,0.03054
GO:0031330,negative regulation of cellular cataboli...,24,7,2.45,0.00821,0.03054
GO:0009891,positive regulation of biosynthetic proc...,327,47,33.44,0.00824,0.03054
GO:0031328,positive regulation of cellular biosynth...,327,47,33.44,0.00824,0.03054
GO:0065007,biological regulation,1635,190,167.21,0.00858,0.03054
GO:1903312,negative regulation of mRNA metabolic pr...,9,4,0.92,0.00894,0.03054
GO:0031144,proteasome localization,5,3,0.51,0.00907,0.03054
GO:0062125,regulation of mitochondrial gene express...,5,3,0.51,0.00907,0.03054
GO:0070129,regulation of mitochondrial translation,5,3,0.51,0.00907,0.03054
GO:0070131,positive regulation of mitochondrial tra...,5,3,0.51,0.00907,0.03054
GO:0098542,defense response to other organism,5,3,0.51,0.00907,0.03054
GO:2000782,regulation of establishment of cell pola...,5,3,0.51,0.00907,0.03054
GO:2000784,positive regulation of establishment of ...,5,3,0.51,0.00907,0.03054
GO:0051239,regulation of multicellular organismal p...,14,5,1.43,0.01,0.03054
GO:0006104,succinyl-CoA metabolic process,2,2,0.2,0.01043,0.03054
GO:0015825,L-serine transport,2,2,0.2,0.01043,0.03054
GO:0032329,serine transport,2,2,0.2,0.01043,0.03054
GO:0032496,response to lipopolysaccharide,2,2,0.2,0.01043,0.03054
GO:0035617,stress granule disassembly,2,2,0.2,0.01043,0.03054
GO:0035924,cellular response to vascular endothelia...,2,2,0.2,0.01043,0.03054
GO:0045444,fat cell differentiation,2,2,0.2,0.01043,0.03054
GO:0048010,vascular endothelial growth factor recep...,2,2,0.2,0.01043,0.03054
GO:0070314,G1 to G0 transition,2,2,0.2,0.01043,0.03054
GO:0071106,adenosine 3',5'-bisphosphate transmembra...,2,2,0.2,0.01043,0.03054
GO:0071219,cellular response to molecule of bacteri...,2,2,0.2,0.01043,0.03054
GO:1902432,protein localization to division septum,2,2,0.2,0.01043,0.03054
GO:1903450,regulation of G1 to G0 transition,2,2,0.2,0.01043,0.03054
GO:1903452,positive regulation of G1 to G0 transiti...,2,2,0.2,0.01043,0.03054
GO:1905477,positive regulation of protein localizat...,2,2,0.2,0.01043,0.03054
GO:0033036,macromolecule localization,708,90,72.4,0.01076,0.03107
GO:0006996,organelle organization,1160,139,118.63,0.01143,0.03205
GO:0000096,sulfur amino acid metabolic process,44,10,4.5,0.01146,0.03205
GO:0070727,cellular macromolecule localization,665,85,68.01,0.01157,0.03205
GO:0051726,regulation of cell cycle,317,45,32.42,0.01204,0.03291
GO:0009895,negative regulation of catabolic process,26,7,2.66,0.01304,0.03319
GO:0035601,protein deacylation,26,7,2.66,0.01304,0.03319
GO:0051240,positive regulation of multicellular org...,10,4,1.02,0.01371,0.03319
GO:1990151,protein localization to cell tip,10,4,1.02,0.01371,0.03319
GO:2000114,regulation of establishment of cell pola...,10,4,1.02,0.01371,0.03319
GO:0006625,protein targeting to peroxisome,15,5,1.53,0.01376,0.03319
GO:0043574,peroxisomal transport,15,5,1.53,0.01376,0.03319
GO:0046835,carbohydrate phosphorylation,15,5,1.53,0.01376,0.03319
GO:0072662,protein localization to peroxisome,15,5,1.53,0.01376,0.03319
GO:0072663,establishment of protein localization to...,15,5,1.53,0.01376,0.03319
GO:0007346,regulation of mitotic cell cycle,229,34,23.42,0.01477,0.03521
GO:0006283,transcription-coupled nucleotide-excisio...,21,6,2.15,0.01575,0.03619
GO:0045597,positive regulation of cell differentiat...,21,6,2.15,0.01575,0.03619
GO:2000769,regulation of establishment or maintenan...,21,6,2.15,0.01575,0.03619
GO:0098732,macromolecule deacylation,27,7,2.76,0.0161,0.03619
GO:0016556,mRNA modification,6,3,0.61,0.01677,0.03619
GO:0019419,sulfate reduction,6,3,0.61,0.01677,0.03619
GO:0035307,positive regulation of protein dephospho...,6,3,0.61,0.01677,0.03619
GO:0075307,positive regulation of conidium formatio...,6,3,0.61,0.01677,0.03619
GO:1903666,positive regulation of asexual reproduct...,6,3,0.61,0.01677,0.03619
GO:0034486,vacuolar transmembrane transport,16,5,1.64,0.01838,0.03884
GO:0046173,polyol biosynthetic process,16,5,1.64,0.01838,0.03884
GO:0010604,positive regulation of macromolecule met...,464,61,47.45,0.01879,0.0391
GO:0008104,protein localization,651,82,66.58,0.01889,0.0391
GO:0044805,late nucleophagy,11,4,1.12,0.01983,0.0391
GO:0072741,protein localization to cell division si...,11,4,1.12,0.01983,0.0391
GO:2000771,positive regulation of establishment or ...,11,4,1.12,0.01983,0.0391
GO:0040020,regulation of meiotic nuclear division,41,9,4.19,0.02012,0.0391
GO:0019220,regulation of phosphate metabolic proces...,169,26,17.28,0.02055,0.0391
GO:0051174,regulation of phosphorus metabolic proce...,169,26,17.28,0.02055,0.0391
GO:0045893,positive regulation of DNA-templated tra...,235,34,24.03,0.02124,0.0391
GO:0051604,protein maturation,178,27,18.2,0.0219,0.0391
GO:0050790,regulation of catalytic activity,270,38,27.61,0.0231,0.0391
GO:0065002,intracellular protein transmembrane tran...,63,12,6.44,0.02363,0.0391
GO:0031347,regulation of defense response,17,5,1.74,0.0239,0.0391
