pathway,pval,padj,log2err,ES,NES,size,leadingEdge
ko05012,4.939777352281438e-7,1.3586855977615342e-4,0.6594443980379349,0.5221007520584309,2.1493478965341746,74,FVEG_07431;FVEG_09088;FVEG_11349;FVEG_02318;FVEG_01882;FVEG_07794;FVEG_06660;FVEG_02252;FVEG_01322;FVEG_04039;FVEG_06962;FVEG_04651;GimoM_p03;FVEG_07184;FVEG_01019;FVEG_07197;FVEG_07914;FVEG_02649;GimoM_p11;GimoM_p17;FVEG_07304;FVEG_02245;FVEG_05469;GimoM_p19;FVEG_06277;FVEG_05101;FVEG_04680;FVEG_01210;FVEG_00828;FVEG_01838;FVEG_05884;FVEG_03873;FVEG_02986;FVEG_04906;GimoM_p20;FVEG_03859;FVEG_01931;FVEG_07199;FVEG_07342;FVEG_06879;FVEG_11557;FVEG_00747;FVEG_08261;FVEG_06930;FVEG_06221
ko05016,6.776486771877975e-7,1.3586855977615342e-4,0.6594443980379349,0.49590742289806833,2.131757471158265,91,FVEG_12481;FVEG_07431;FVEG_09088;FVEG_07160;FVEG_11349;FVEG_05615;FVEG_02318;FVEG_02094;FVEG_01882;FVEG_06367;FVEG_05432;FVEG_07510;FVEG_09286;FVEG_06660;FVEG_00400;FVEG_02252;FVEG_01252;FVEG_01322;FVEG_01940;FVEG_04039;FVEG_04651;FVEG_08944;FVEG_07184;FVEG_01019;FVEG_07197;FVEG_07914;FVEG_02649;GimoM_p11;FVEG_07304;FVEG_02245;FVEG_00735;FVEG_05469;GimoM_p19;FVEG_06277;FVEG_05101;FVEG_04680;FVEG_01210;FVEG_00828;FVEG_00658;FVEG_05884;FVEG_03873;FVEG_02986;FVEG_04906;GimoM_p20;FVEG_03859;FVEG_08108;FVEG_06868;FVEG_07199;FVEG_07342;FVEG_06879;FVEG_11557;FVEG_00747;FVEG_08261
ko05010,3.88496995750167e-6,5.192909843193898e-4,0.610526878385931,0.5132558722936417,2.0724020800278162,68,FVEG_07431;FVEG_09088;FVEG_07936;FVEG_11349;FVEG_02318;FVEG_01882;FVEG_06660;FVEG_02252;FVEG_05820;FVEG_01322;FVEG_04039;FVEG_01395;FVEG_07184;FVEG_01019;FVEG_07197;FVEG_07914;GimoM_p11;FVEG_07304;FVEG_02245;FVEG_05469;FVEG_07362;GimoM_p19;FVEG_06277;FVEG_05101;FVEG_07853;FVEG_04680;FVEG_01210;FVEG_00828;FVEG_05884;FVEG_03873;FVEG_02986;FVEG_04906;GimoM_p20;FVEG_03859;FVEG_07199;FVEG_07342;FVEG_06879;FVEG_11557;FVEG_00747;FVEG_08261;FVEG_06930;FVEG_06221
ko04111,8.434842384609732e-6,7.18732203614342e-4,0.5933254763964051,0.44610003185412644,1.947614610077527,98,FVEG_05551;FVEG_01961;FVEG_11583;FVEG_09624;FVEG_07348;FVEG_11345;FVEG_07186;FVEG_00893;FVEG_01001;FVEG_09177;FVEG_06721;FVEG_08052;FVEG_08045;FVEG_05211;FVEG_09258;FVEG_07556;FVEG_01340;FVEG_02817;FVEG_04147;FVEG_12150;FVEG_00961;FVEG_01468;FVEG_07837;FVEG_14962;FVEG_07073;FVEG_09235;FVEG_06184;FVEG_00536;FVEG_07097;FVEG_06091;FVEG_08063;FVEG_04985;FVEG_06634;FVEG_03115;FVEG_01156;FVEG_10410;FVEG_06718;FVEG_09625;FVEG_07330;FVEG_09085;FVEG_06196;FVEG_06432;FVEG_12039;FVEG_00748;FVEG_07021;FVEG_15183;FVEG_08277;FVEG_09517;FVEG_01965;FVEG_10813;FVEG_09186;FVEG_11639;FVEG_05207
ko04932,8.961748174742418e-6,7.18732203614342e-4,0.5933254763964051,0.5293310770711714,2.0749655909745455,57,FVEG_07431;FVEG_09088;FVEG_01198;FVEG_07936;FVEG_11349;FVEG_02318;FVEG_01882;FVEG_07850;FVEG_06660;FVEG_02252;FVEG_05820;FVEG_01322;FVEG_04039;FVEG_07081;FVEG_06667;FVEG_07184;FVEG_01019;FVEG_07197;FVEG_07914;GimoM_p11;FVEG_07304;FVEG_02447;FVEG_06277;FVEG_05101;FVEG_05884;FVEG_03873;FVEG_02986;FVEG_04906;GimoM_p20;FVEG_03859;FVEG_07199;FVEG_07342;FVEG_06879;FVEG_11557;FVEG_08261;FVEG_06930;FVEG_06221
ko04714,8.243660768619619e-5,0.005509513280360778,0.5384340963099162,0.39094958586919254,1.7504525139089218,115,FVEG_12481;FVEG_05068;FVEG_07431;FVEG_09088;FVEG_07160;FVEG_11349;FVEG_02964;FVEG_02318;FVEG_01882;FVEG_15042;FVEG_01014;FVEG_04168;FVEG_09622;FVEG_07850;FVEG_07326;FVEG_06660;FVEG_07785;FVEG_02252;FVEG_01958;FVEG_01322;FVEG_04039;FVEG_07369;FVEG_06667;FVEG_08944;GimoM_p03;FVEG_07184;FVEG_01019;FVEG_07197;FVEG_07914;GimoM_p11;FVEG_09497;GimoM_p17;FVEG_07304;FVEG_02245;FVEG_05469;FVEG_06467;GimoM_p19;FVEG_06277;FVEG_05101;FVEG_04680;FVEG_15594;FVEG_01452;FVEG_01210;FVEG_07614;FVEG_00828;FVEG_02837;FVEG_05884;FVEG_03873;FVEG_02986;FVEG_04906;GimoM_p20;FVEG_03859;FVEG_06392;FVEG_01931;FVEG_07199;FVEG_07342;FVEG_06879;FVEG_07930;FVEG_00747;FVEG_08261;FVEG_12163;FVEG_11565;FVEG_06930;FVEG_06221
H1_pigment_PKS_backbone,9.618797271551182e-5,0.005510196722702892,0.5384340963099162,-0.7497640113907604,-1.989524429539706,18,FVEG_11932;FVEG_10535;FVEG_11086;FVEG_00079
ko05169,1.4123363293026486e-4,0.006690276626758898,0.5188480777437918,0.44827099752546806,1.8328242179583842,71,FVEG_12481;FVEG_07160;FVEG_07936;FVEG_01060;FVEG_04750;FVEG_05615;FVEG_02094;FVEG_06367;FVEG_00720;FVEG_05432;FVEG_04168;FVEG_09286;FVEG_01017;FVEG_02050;FVEG_00400;FVEG_12795;FVEG_11432;FVEG_01252;FVEG_00402;FVEG_07482;FVEG_02570;FVEG_08944;FVEG_01939;FVEG_02113;FVEG_07351;FVEG_00819;FVEG_03982;FVEG_16733;FVEG_02295;FVEG_04677
ko00460,1.5015583451578573e-4,0.006690276626758898,0.5188480777437918,0.6528974159202329,2.042615188478497,22,FVEG_06728;FVEG_09776;FVEG_05521;FVEG_09248;FVEG_17046;FVEG_13391;FVEG_14974;FVEG_03657;FVEG_04963;FVEG_09239;FVEG_07762
ko04145,1.9885545398658908e-4,0.007974103704862222,0.5188480777437918,0.5429053853014366,1.9744018199899056,40,FVEG_00949;FVEG_00347;FVEG_00742;FVEG_00504;FVEG_07081;FVEG_09607;FVEG_11586;FVEG_06685;FVEG_15419;FVEG_15007;FVEG_15418;FVEG_00559;FVEG_08178;FVEG_04219;FVEG_02447;FVEG_02468;FVEG_05512;FVEG_01277;FVEG_04142;FVEG_02259;FVEG_04081;FVEG_07024;FVEG_00855;FVEG_15367;FVEG_07930;FVEG_00557;FVEG_04809;FVEG_01460;FVEG_02279
