collection,set,direction,set_size,observed,expected,fold_enr,odds_ratio,pvalue,padj,genes
curated_hypothesis,H4_cytochrome_P450,down,69,22,10.02,2.2,2.79,1.9031454539455994e-4,0.0034817911735002495,FVEG_00415;FVEG_02379;FVEG_03262;FVEG_03297;FVEG_04255;FVEG_04803;FVEG_05997;FVEG_08438;FVEG_08786;FVEG_09305;FVEG_10439;FVEG_11079;FVEG_11563;FVEG_11589;FVEG_11928;FVEG_13054;FVEG_13355;FVEG_14636;FVEG_14768;FVEG_14769;FVEG_16853;FVEG_16872
curated_hypothesis,H5_methyltransferases_SAM,down,70,22,10.16,2.17,2.73,2.4012352920691374e-4,0.0034817911735002495,FVEG_00079;FVEG_00448;FVEG_02122;FVEG_04568;FVEG_05904;FVEG_06795;FVEG_07683;FVEG_08419;FVEG_08545;FVEG_08818;FVEG_08892;FVEG_10263;FVEG_10347;FVEG_10535;FVEG_11086;FVEG_11932;FVEG_11957;FVEG_12181;FVEG_12851;FVEG_12855;FVEG_13178;FVEG_13182
curated_hypothesis,H5_methyltransferases_SAM,any,70,29,17.37,1.67,2.16,0.001596936589519165,0.046311161096055785,FVEG_00079;FVEG_00413;FVEG_00448;FVEG_02122;FVEG_02363;FVEG_04568;FVEG_05904;FVEG_06795;FVEG_07020;FVEG_07683;FVEG_08419;FVEG_08545;FVEG_08818;FVEG_08892;FVEG_10263;FVEG_10347;FVEG_10535;FVEG_11086;FVEG_11932;FVEG_11957;FVEG_12181;FVEG_12499;FVEG_12851;FVEG_12855;FVEG_13178;FVEG_13182;FVEG_13686;FVEG_15124;FVEG_15414
curated_hypothesis,H3_glycolysis_TCA,up,204,34,21,1.62,1.77,0.003077222335008021,0.08923944771523261,FVEG_00585;FVEG_01836;FVEG_02083;FVEG_02675;FVEG_03808;FVEG_03852;FVEG_03908;FVEG_04169;FVEG_04947;FVEG_05003;FVEG_05491;FVEG_05521;FVEG_06101;FVEG_06302;FVEG_06728;FVEG_06816;FVEG_07431;FVEG_07484;FVEG_07491;FVEG_07525;FVEG_07917;FVEG_08018;FVEG_08321;FVEG_09248;FVEG_10271;FVEG_10452;FVEG_11318;FVEG_11561;FVEG_11642;FVEG_13338;FVEG_13391;FVEG_14837;FVEG_14974;FVEG_16233
curated_hypothesis,H4_cytochrome_P450,any,69,26,17.12,1.52,1.84,0.011789169985928534,0.17094296479596374,FVEG_00415;FVEG_00815;FVEG_01425;FVEG_02030;FVEG_02379;FVEG_03262;FVEG_03297;FVEG_04255;FVEG_04803;FVEG_05997;FVEG_08438;FVEG_08786;FVEG_09305;FVEG_10439;FVEG_10545;FVEG_11079;FVEG_11563;FVEG_11589;FVEG_11928;FVEG_13054;FVEG_13355;FVEG_14636;FVEG_14768;FVEG_14769;FVEG_16853;FVEG_16872
curated_hypothesis,H2_MAPK_signaling,up,8,3,0.82,3.64,5.24,0.041006207731997896,0.35527022369878924,FVEG_02618;FVEG_03043;FVEG_04168
curated_hypothesis,H3_CAZy_GH_all,up,69,12,7.1,1.69,1.85,0.04757206359845728,0.35527022369878924,FVEG_02083;FVEG_02273;FVEG_03908;FVEG_04206;FVEG_04947;FVEG_04979;FVEG_05521;FVEG_06728;FVEG_07525;FVEG_09248;FVEG_13391;FVEG_14974
curated_hypothesis,H5_Ehrlich_fusel,up,4,2,0.41,4.86,8.73,0.05516206856893906,0.35527022369878924,FVEG_01416;FVEG_07491
curated_hypothesis,H4_glutathione_detox,up,28,6,2.88,2.08,2.39,0.061520815692996826,0.35527022369878924,FVEG_02759;FVEG_03657;FVEG_04532;FVEG_09203;FVEG_12433;FVEG_17046
curated_hypothesis,H4_secondary_metab_backbone,down,69,15,10.02,1.5,1.64,0.06735621815337997,0.49904780072383226,FVEG_00016;FVEG_00079;FVEG_03243;FVEG_05507;FVEG_05508;FVEG_08545;FVEG_08711;FVEG_10286;FVEG_10535;FVEG_10547;FVEG_10767;FVEG_11086;FVEG_11932;FVEG_12633;FVEG_12816
